timestamp,3cdaf029c87a002_write,3cdaf029c87a002_read,512e070e8eb32959_write,512e070e8eb32959_read,5b3ba363fb10d52f_write,5b3ba363fb10d52f_read,6181f76d6668aeb0_write,6181f76d6668aeb0_read,69948e3d245f62b7_write,69948e3d245f62b7_read,69f554c3f7f50a72_write,69f554c3f7f50a72_read,8861d1f6a0217629_write,8861d1f6a0217629_read,933ca51d2bb602b8_write,933ca51d2bb602b8_read,b92b49a4de72942d_write,b92b49a4de72942d_read
1760767650,0,0,0,0,0,0,0,0,0,0,4,4,0,0,10,13,1,0
1760767652,0,0,0,0,0,0,0,0,0,0,25,24,0,0,0,0,0,0
1760767654,0,0,0,0,0,0,0,0,0,0,25,23,0,0,0,0,0,0
1760767656,0,0,0,0,0,0,0,0,0,0,19,30,0,0,0,0,0,0
1760767658,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0
1760767660,0,0,0,0,0,0,0,0,0,0,3,5,0,0,67,71,9,2
1760767662,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,1,0
1760767664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767670,0,0,0,0,0,0,0,0,0,0,5,4,0,0,5,4,3,8
1760767672,0,0,0,0,0,0,0,0,0,0,27,21,0,0,0,0,29,36
1760767674,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,26,24
1760767676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767680,0,0,0,0,0,0,0,0,0,0,6,2,0,0,28,33,3,8
1760767682,0,0,0,0,0,0,0,0,0,0,25,24,0,0,0,0,0,0
1760767684,0,0,0,0,0,0,0,0,0,0,26,23,0,0,0,0,0,0
1760767686,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0
1760767688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767690,0,0,0,0,0,0,0,0,0,0,3,5,0,0,81,90,3,8
1760767692,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0
1760767694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767700,0,0,0,0,0,0,0,0,0,0,2,5,0,0,3,5,71,79
1760767702,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,0
1760767704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767710,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,3,13,24
1760767712,0,0,0,0,0,0,0,0,0,0,22,17,0,0,4,7,0,0
1760767714,0,0,0,0,0,0,0,0,0,0,24,16,0,0,0,0,0,0
1760767716,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0
1760767718,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0
1760767720,0,0,0,0,0,0,0,0,0,0,2,5,0,0,5,6,6,11
1760767722,0,0,0,0,0,0,0,0,0,0,2,2,0,0,29,36,0,0
1760767724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,0,0
1760767726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0
1760767728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767730,0,0,0,0,0,0,0,0,0,0,20,17,0,0,3,5,2,1
1760767732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,23,16
1760767734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21
1760767736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16
1760767738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
1760767740,0,0,0,0,0,0,0,0,0,0,65,68,0,0,3,5,2,4
1760767742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,6,3
1760767744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767750,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1
1760767752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,0,0
1760767754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0
1760767760,0,0,0,0,0,0,0,0,0,0,5,6,0,0,3,3,2,5
1760767762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,21,18
1760767764,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,21,16
1760767766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34
1760767768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1760767770,0,0,0,0,0,0,0,0,0,0,3,6,0,0,1,2,7,3
1760767772,0,0,0,0,0,0,0,0,0,0,28,20,0,0,0,0,0,0
1760767774,0,0,0,0,0,0,0,0,0,0,25,24,0,0,0,0,0,0
1760767776,0,0,0,0,0,0,0,0,0,0,17,32,0,0,0,0,0,0
1760767778,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0
1760767780,0,0,0,0,0,0,0,0,0,0,6,2,0,0,68,70,1,0
1760767782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
1760767788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767790,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,6,69,76
1760767794,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0
1760767796,0,0,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0,0
1760767798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767800,0,0,0,0,0,0,0,0,0,0,4,4,0,0,15,10,4,7
1760767802,0,0,0,0,0,0,0,0,0,0,18,31,0,0,0,0,15,12
1760767804,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0
1760767806,0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,0
1760767808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767810,0,0,0,0,0,0,0,0,0,0,2,5,0,0,89,101,1,2
1760767812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2
1760767826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
1760767830,0,0,0,0,0,0,0,0,0,0,105,88,0,0,1,3,16,20
1760767832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
